date,dstip,srcport,dstport,srcip,pkt_len,tos,id,flag,ttl,chksum
2015-05-21 13:01:00,3617517163,40315,443,1790770405,52,0,45292,2,56,25643
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64695,2,57,20301
2015-05-21 13:01:00,1545326958,3074,34260,116262349,204,0,18609,0,53,556
2015-05-21 13:01:00,1716726314,80,60955,2347841653,1439,8,34747,2,60,23730
2015-05-21 13:01:00,1505192174,4369,443,1691762315,52,0,5490,2,57,50763
2015-05-21 13:01:00,2299785499,52852,80,1698734450,1500,0,6095,2,58,41579
2015-05-21 13:01:00,2299785499,52852,80,1698734450,785,0,6096,2,58,42293
2015-05-21 13:01:00,1545329577,12093,31286,1787877175,1455,0,14735,0,119,35618
2015-05-21 13:01:00,3617517253,38305,443,500554551,52,0,50365,2,56,48789
2015-05-21 13:01:00,150789938,63773,80,1956245869,52,0,45090,2,56,17516
2015-05-21 13:01:00,853563484,2519,8006,3985845715,52,0,26464,2,52,14529
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64696,2,57,20300
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3830,2,86,33369
2015-05-21 13:01:00,1545329443,37881,51058,557403745,58,0,22357,2,56,17541
2015-05-21 13:01:00,1545329443,37881,51058,557403745,58,0,22358,2,56,17540
2015-05-21 13:01:00,2234915103,80,50903,1778659739,677,2,19296,2,54,48380
2015-05-21 13:01:00,2283388241,42083,443,500391181,52,0,858,2,56,32543
2015-05-21 13:01:00,2215254431,38260,42134,947314515,200,0,7685,2,113,13741
2015-05-21 13:01:00,137092574,59358,443,2288749392,52,0,17829,2,56,858
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3831,2,86,33368
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3832,2,86,33367
2015-05-21 13:01:00,1692674710,45882,443,2222684012,52,0,41541,2,55,5661
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64697,2,57,20299
2015-05-21 13:01:00,3617517253,38305,443,500554551,52,0,50366,2,56,48788
2015-05-21 13:01:00,568954141,53,42981,1863625798,96,8,58498,0,59,53409
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3833,2,86,33366
2015-05-21 13:01:00,3617492044,64415,80,148889768,52,0,4449,2,57,58096
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3834,2,86,33365
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64698,2,57,20298
2015-05-21 13:01:00,1545329630,14381,29821,1746946824,104,0,14729,0,49,25818
2015-05-21 13:01:00,137682455,61626,443,2672535426,40,0,32161,2,120,22549
2015-05-21 13:01:00,2283387948,51520,80,2025248967,52,0,249,2,51,45319
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3835,2,86,33364
2015-05-21 13:01:00,2342717538,61773,80,1738383607,52,0,519,2,55,42275
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3836,2,86,33363
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3837,2,86,33362
2015-05-21 13:01:00,2283388161,34736,443,150953147,52,8,44189,2,59,59465
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64699,2,57,20297
2015-05-21 13:01:00,3617492175,47577,80,146736697,64,0,6790,2,59,45516
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3838,2,86,33361
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3839,2,86,33360
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3840,2,86,33359
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3841,2,86,33358
2015-05-21 13:01:00,3617517163,40315,443,1790770405,52,0,45293,2,56,25642
2015-05-21 13:01:00,1554569685,1067,80,3237888049,40,0,1683,0,53,18320
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3842,2,86,33357
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54927,2,54,48793
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54928,2,54,48792
2015-05-21 13:01:00,3236289063,37561,80,4048273528,40,0,6788,2,113,41594
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54929,2,54,48791
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54930,2,54,48790
2015-05-21 13:01:00,2243093084,443,45355,3692841427,1450,0,3843,2,86,33356
2015-05-21 13:01:00,2243093084,443,45355,3692841427,446,0,3844,2,86,34359
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54931,2,54,48789
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54932,2,54,48788
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54933,2,54,48787
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54934,2,54,48786
2015-05-21 13:01:00,150789912,63210,80,1956239852,52,0,43110,2,56,25539
2015-05-21 13:01:00,2283388161,34736,443,150953147,52,8,44190,2,59,59464
2015-05-21 13:01:00,1672847798,54184,80,1230902187,40,0,2427,2,115,39904
2015-05-21 13:01:00,853563484,14690,8004,1642033587,40,0,20291,0,115,39358
2015-05-21 13:01:00,3617517160,35207,443,1657172584,72,0,1186,2,58,41176
2015-05-21 13:01:00,150789869,42940,80,2228467378,52,0,26928,2,54,47140
2015-05-21 13:01:00,12833326,61319,443,2065742556,40,0,0,2,51,16098
2015-05-21 13:01:00,150789980,35969,80,1574997820,40,0,29871,2,117,48043
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64700,2,57,20296
2015-05-21 13:01:00,853560550,51302,443,2251350403,40,0,28952,2,116,44605
2015-05-21 13:01:00,853553324,34268,80,1531295191,52,0,576,2,56,52187
2015-05-21 13:01:00,1505192066,17146,61341,2628057363,1429,0,3703,0,122,54511
2015-05-21 13:01:00,1344802977,10610,1024,2097915291,1466,0,11855,0,116,36724
2015-05-21 13:01:00,1716727673,80,58051,2347841641,1452,8,52261,2,60,4856
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64701,2,57,20295
2015-05-21 13:01:00,1871867787,443,54386,1862874983,52,0,1940,0,45,163
2015-05-21 13:01:00,3617517208,45371,1485,1000247065,354,8,13297,2,59,31139
2015-05-21 13:01:00,1871857513,4433,9026,1365304920,40,0,61485,2,57,25326
2015-05-21 13:01:00,2231898071,80,39899,902934349,52,8,62409,2,54,55028
2015-05-21 13:01:00,2243093204,38170,80,1909317289,757,0,49327,2,59,50005
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64702,2,57,20294
2015-05-21 13:01:00,1545323073,54670,80,503180738,40,0,20828,2,118,35159
2015-05-21 13:01:00,3225478703,62720,6881,1569306860,57,0,12724,0,121,21274
2015-05-21 13:01:00,1344802977,25068,57500,2136751877,1500,0,5284,2,115,52813
2015-05-21 13:01:00,853567782,51563,80,1812660586,52,0,47080,2,56,33120
2015-05-21 13:01:00,4152938274,3494,16402,1713945563,1377,0,33349,0,57,4504
2015-05-21 13:01:00,568954141,53,43715,1863625798,85,8,53306,0,59,58612
2015-05-21 13:01:00,1344681583,50853,80,1758768287,40,0,10765,2,51,33210
2015-05-21 13:01:00,3617517163,40315,443,1790770405,52,0,45294,2,56,25641
2015-05-21 13:01:00,1545326958,3074,34260,1382615769,124,0,7072,0,55,56581
2015-05-21 13:01:00,3617517253,57743,80,2342757303,52,0,64703,2,57,20293
2015-05-21 13:01:00,2243093054,44448,80,1836758442,600,0,56343,0,45,9331
2015-05-21 13:01:00,2243093291,33617,80,2199316882,52,0,25743,2,57,1966
2015-05-21 13:01:00,1709201826,53,29722,1863625798,100,8,13121,0,59,29027
2015-05-21 13:01:00,1554569605,53732,80,623930518,52,0,26002,2,53,6206
2015-05-21 13:01:00,3617492175,47577,80,146736697,64,0,6791,2,59,45515
2015-05-21 13:01:00,1640391218,50423,7470,4014140395,52,0,31037,2,55,11104
2015-05-21 13:01:00,150789557,80,60753,2676591366,52,0,53918,2,59,23524
2015-05-21 13:01:00,3617517102,19314,80,1250339180,40,0,3961,2,112,16791
2015-05-21 13:01:00,3235956350,51553,80,2424004718,52,0,57353,2,52,61041
2015-05-21 13:01:00,1505192162,1194,1194,999485300,121,0,0,2,56,21716
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1500,0,60140,2,245,48658
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1500,0,60141,2,245,48657
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1216,0,60142,2,245,48940
2015-05-21 13:01:00,2169402312,57172,80,4084554767,40,0,33120,2,58,31444
2015-05-21 13:01:00,1545329463,7001,17373,1993862984,48,0,25545,2,48,18817
2015-05-21 13:01:00,1672854995,54610,80,3470982811,40,0,5641,2,120,64959
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1500,0,60143,2,245,48655
2015-05-21 13:01:00,3235956350,51553,80,2424004718,52,0,57354,2,52,61040
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1500,0,60144,2,245,48654
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1216,0,60145,2,245,48937
2015-05-21 13:01:00,3714475849,42657,80,3480554070,40,0,27697,2,117,31523
2015-05-21 13:01:00,1506690635,28104,19132,3339229284,35,0,0,2,55,17476
2015-05-21 13:01:00,2169402312,57172,80,4084554767,1347,0,33121,2,58,30136
2015-05-21 13:01:00,1871867340,443,21151,2421181629,141,0,16724,2,120,1707
2015-05-21 13:01:00,853564243,2154,80,1383735851,52,0,30153,2,56,51746
2015-05-21 13:01:00,1643608288,49826,443,1588719809,40,0,24522,2,117,31675
2015-05-21 13:01:00,3538658659,443,40119,3741246265,52,8,6940,2,38,65304
2015-05-21 13:01:00,150790001,43174,80,500369109,52,0,11115,2,58,2116
2015-05-21 13:01:00,2342717538,51292,80,117096411,52,0,64881,2,55,60279
2015-05-21 13:01:00,2243093291,33617,80,2199316882,52,0,25744,2,57,1965
2015-05-21 13:01:00,2243093069,34961,80,1836758187,495,0,19044,0,45,46975
2015-05-21 13:01:00,3617492175,47577,80,146736697,64,0,6792,2,59,45514
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1500,0,60146,2,245,48652
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1500,0,60147,2,245,48651
2015-05-21 13:01:00,3692349459,80,12696,1896923619,1216,0,60148,2,245,48934
2015-05-21 13:01:00,3694611775,20351,80,3605561507,40,0,6624,0,47,61677
2015-05-21 13:01:00,135550926,50185,80,3269296913,40,0,21795,2,116,3036
2015-05-21 13:01:00,135550926,50185,80,3269296913,40,0,21796,2,116,3035
2015-05-21 13:01:00,135550926,50185,80,3269296913,40,0,21797,2,116,3034
2015-05-21 13:01:00,1545333325,36974,9999,1545332540,52,0,37288,2,55,10331
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54935,2,54,48785
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54936,2,54,48784
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54937,2,54,48783
2015-05-21 13:01:00,2234919715,41082,80,2372497880,52,0,54938,2,54,48782
2015-05-21 13:01:00,1545329451,42264,43418,497732235,65,0,13697,0,116,61870
2015-05-21 13:01:00,150789938,65023,80,1956241916,52,0,7001,2,56,59558
2015-05-21 13:01:00,568954137,53,1109,1863625798,145,8,23683,0,59,22644
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61435,2,56,3444
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61436,2,56,3443
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61437,2,56,3442
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61438,2,56,3441
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61439,2,56,3440
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61440,2,56,3439
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61441,2,56,3438
2015-05-21 13:01:00,150789938,65086,80,465977696,52,0,61442,2,56,3437
2015-05-21 13:01:00,137092574,59358,443,2288749392,83,0,17830,2,56,826
2015-05-21 13:01:00,1554569666,51192,80,1984097478,52,0,60738,2,54,48653
2015-05-21 13:01:00,2299786010,57821,80,3641310215,52,0,34968,2,57,26604
2015-05-21 13:01:00,1505192080,35591,32854,1572182624,58,0,48678,2,56,51759
2015-05-21 13:01:00,2299785499,56345,80,1698734285,52,0,5124,2,57,44419
2015-05-21 13:01:00,3617492179,62198,80,2628067606,52,0,18518,2,58,54848
2015-05-21 13:01:00,137687321,52588,443,2108764833,213,0,22869,2,115,1070
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11684,2,50,53638
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11685,2,50,53637
2015-05-21 13:01:00,2342715495,31348,80,2320046257,40,4,9602,2,113,46405
2015-05-21 13:01:00,3694611775,20351,80,3605561507,40,0,2100,0,47,666
2015-05-21 13:01:00,3715396604,62108,80,1567400361,52,0,1563,2,118,44578
2015-05-21 13:01:00,137092574,59358,443,2288749392,52,0,17831,2,56,856
2015-05-21 13:01:00,3617492179,62198,80,2628067606,52,0,18519,2,58,54847
2015-05-21 13:01:00,3617517160,35207,443,1657172584,72,0,1187,2,58,41175
2015-05-21 13:01:00,2243093019,443,64442,1685595654,697,0,7567,2,87,4452
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11686,2,50,53636
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11687,2,50,53635
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11688,2,50,53634
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11689,2,50,53633
2015-05-21 13:01:00,2243093319,45113,443,150768382,52,8,6532,2,59,10564
2015-05-21 13:01:00,12833295,48757,3478,3923838324,107,0,0,2,49,34650
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11690,2,50,53632
2015-05-21 13:01:00,568954343,80,42828,904355378,1500,8,11691,2,50,53631
2015-05-21 13:01:00,1344681583,50848,80,1758768287,40,0,24073,2,51,19902
2015-05-21 13:01:00,150790029,59713,80,1790770605,1114,0,25835,2,56,35007
2015-05-21 13:01:00,3225482891,9182,46972,1565286955,1457,0,27044,0,111,26196
2015-05-21 13:01:00,2233476903,19424,20,842607118,52,0,40911,2,118,23654
2015-05-21 13:01:00,1545329453,14144,55648,2280679048,48,0,20674,0,50,4666
2015-05-21 13:01:00,150789643,80,36496,3937837416,40,0,57522,2,56,61174
2015-05-21 13:01:00,3225472883,4999,6881,3445215432,1452,0,53774,2,121,64614
2015-05-21 13:01:00,137682455,61625,443,2672535426,40,0,32162,2,120,22548
2015-05-21 13:01:00,1545329443,37881,51058,557403745,58,0,22359,2,56,17539
2015-05-21 13:01:00,1554569608,54880,80,2010882219,52,0,26172,2,53,37072
